"m_date","m_open","m_high","m_low","m_close","m_volume","m_vwap","m_open_split_adjusted","m_high_split_adjusted","m_low_split_adjusted","m_close_split_adjusted","m_volume_split_adjusted","m_vwap_split_adjusted","m_open_dividend_and_split_adjusted","m_high_dividend_and_split_adjusted","m_low_dividend_and_split_adjusted","m_close_dividend_and_split_adjusted","m_volume_dividend_and_split_adjusted","m_vwap_dividend_and_split_adjusted","c_annualized_volatility_5d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted","c_book_to_price","c_book_value_per_share","c_chaikin_money_flow_21d_dividend_and_split_adjusted","c_chaikin_money_flow_21d_split_adjusted","c_daily_traded_value","c_daily_traded_value_sma_5d","c_daily_traded_value_sma_21d","c_daily_traded_value_sma_63d","c_daily_traded_value_sma_252d","c_earnings_per_share","c_earnings_to_price","c_exponential_moving_average_5d_close_dividend_and_split_adjusted","c_exponential_moving_average_5d_close_split_adjusted","c_exponential_moving_average_21d_close_dividend_and_split_adjusted","c_exponential_moving_average_21d_close_split_adjusted","c_exponential_moving_average_63d_close_dividend_and_split_adjusted","c_exponential_moving_average_63d_close_split_adjusted","c_exponential_moving_average_252d_close_dividend_and_split_adjusted","c_exponential_moving_average_252d_close_split_adjusted","c_last_twelve_months_net_income","c_last_twelve_months_revenue","c_last_twelve_months_revenue_per_share","c_log_difference_high_to_low","c_log_returns_dividend_and_split_adjusted","c_macd_26d_12d_dividend_and_split_adjusted","c_macd_26d_12d_split_adjusted","c_macd_signal_9d_dividend_and_split_adjusted","c_macd_signal_9d_split_adjusted","c_rsi_14d_dividend_and_split_adjusted","c_rsi_14d_split_adjusted","c_simple_moving_average_5d_close_dividend_and_split_adjusted","c_simple_moving_average_5d_close_split_adjusted","c_simple_moving_average_21d_close_dividend_and_split_adjusted","c_simple_moving_average_21d_close_split_adjusted","c_simple_moving_average_63d_close_dividend_and_split_adjusted","c_simple_moving_average_63d_close_split_adjusted","c_simple_moving_average_252d_close_dividend_and_split_adjusted","c_simple_moving_average_252d_close_split_adjusted","c_test"
1996-03-18,,,,,,,10.125000000000000,10.125000000000000,10.000000000000000,10.000000000000000,35200,,,,,3.0062394142150880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.125000000000000
1996-03-19,,,,,,,10.125000000000000,10.125000000000000,10.125000000000000,10.125000000000000,500,,,,,3.0438182353973390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01242279219111632,,,,,,,,,,,,,,,0E-15
1996-03-20,,,,,,,10.125000000000000,10.125000000000000,10.125000000000000,10.125000000000000,500,,,,,3.0438182353973390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0E-15
1996-03-21,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,37700,,,,,3.0813961029052734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012270048651276374,,,,,,,,,,,,,,,0E-15
1996-03-22,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,600,,,,,3.0813961029052734,,,,,,,,,,,,,,,,,,3.0513336181640627,10.15,,,,,,,,,,,0,,,,,,,3.0513336181640627,10.15,,,,,,,0E-15
1996-03-25,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,500,,,,,3.0813961029052734,,,0.10735340079919478,,,,,,,,,,,,,,,3.0613544464111326,10.183333333333334,,,,,,,,,,,0,,,,,,,3.0663649559021,10.2,,,,,,,0E-15
1996-03-26,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,0,,,,,3.0813961029052734,,,0.08710870411615786,,,,,,,,,,,,,,,3.0680349985758464,10.205555555555556,,,,,,,,,,,0,,,,,,,3.0738805294036866,10.225,,,,,,,0E-15
1996-03-27,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,400,,,,,3.0813961029052734,,,0.08710870411615786,,,,,,,,,,,,,,,3.072488700018989,10.22037037037037,,,,,,,,,,,0,,,,,,,3.0813961029052734,10.25,,,,,,,0E-15
1996-03-28,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,100,,,,,3.0813961029052734,,,0,,,,,,,,,,,,,,,3.0754578343144168,10.230246913580247,,,,,,,,,,,0,,,,,,,3.0813961029052734,10.25,,,,,,,0E-15
1996-03-29,,,,,,,10.125000000000000,10.250000000000000,10.125000000000000,10.250000000000000,200200,,,,,3.0813961029052734,,,0,,,,,,,,,,,,,,,3.077437257178036,10.236831275720165,,,,,,,,,,,0,,,,,,,3.0813961029052734,10.25,,,,,,,0.125000000000000
1996-04-01,,,,,,,10.375000000000000,10.375000000000000,10.375000000000000,10.375000000000000,900,,,,,3.1189732551574707,,,0.08605119071736028,,,,,,,,,,,,,,,3.0912825898378475,10.282887517146776,,,,,,,,,,,0.012121088326538678,,,,,,,3.088911533355713,10.275,,,,,,,0E-15
1996-04-02,,,,,,,10.375000000000000,10.375000000000000,10.375000000000000,10.375000000000000,3700,,,,,3.1189732551574707,,,0.08605119071736028,,,,,,,,,,,,,,,3.100512811611055,10.31359167809785,,,,,,,,,,,0,,,,,,,3.0964269638061523,10.3,,,,,,,0E-15
1996-04-03,,,,,,,10.250000000000000,10.250000000000000,10.187500000000000,10.250000000000000,5300,,,,,3.0813961029052734,,,0.1360588790181981,,,,,,,,,,,,,,,3.0941405753757945,10.292394452065235,,,,,,,,,,,-0.012121088326538604,,,,,,,3.0964269638061523,10.3,,,,,,,0E-15
1996-04-04,,,,,,,10.375000000000000,10.375000000000000,10.375000000000000,10.375000000000000,100,,,,,3.1189732551574707,,,0.16098703669415174,,,,,,,,,,,,,,,3.10241813530302,10.319929634710157,,,,,,,,,,,0.012121088326538678,,,,,,,3.103942394256592,10.325,,,,,,,0E-15
1996-04-08,,,,,,,10.125000000000000,10.187500000000000,10.125000000000000,10.187500000000000,10300,,,,,3.0626063346862793,,,0.219661104156056,,,,,,,,,,,,,,,3.08914753509744,10.275786423140104,,,,,,,,,,,-0.018237565977370803,,,,,61.53853662345774,61.53846153846154,3.100184440612793,10.3125,,,,,,,0.062500000000000
1996-04-09,,,,,,,10.312500000000000,10.312500000000000,10.312500000000000,10.312500000000000,10000,,,,,3.1001839637756348,,,0.21994502526682094,,,,,,,,,,,,,,,3.0928263446568383,10.288024282093403,,,,,,,,,,,0.012195156085515132,,,,,67.00513140001473,67.00507614213198,3.096426582336426,10.3,,,,,,,0E-15
1996-04-10,,,,,,,10.312500000000000,10.375000000000000,10.250000000000000,10.250000000000000,8600,,,,,3.0813961029052734,,,0.22206422090675107,,,,,,,,,,,,,,,3.089016264072983,10.275349521395603,,,,,,,,,,,-0.00607867843468298,,,,,62.24185025646884,62.24156692056583,3.0889111518859864,10.275,,,,,,,-0.062500000000000
1996-04-11,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,0,,,,,3.0813961029052734,,,0.20471372885824465,,,,,,,,,,,,,,,3.0864762103504133,10.2668996809304,,,,,,,,,,,0,,,,,62.24185025646884,62.24156692056583,3.0889111518859864,10.275,,,,,,,0E-15
1996-04-12,,,,,,,10.250000000000000,10.250000000000000,10.250000000000000,10.250000000000000,0,,,,,3.0813961029052734,,,0.1755007112442387,,,,,,,,,,,,,,,3.0847828412020335,10.261266453953601,,,,,,,,,,,0,,,,,62.24185025646884,62.24156692056583,3.081395721435547,10.25,,,,,,,0E-15
1996-04-15,,,,,,,10.375000000000000,10.500000000000000,10.375000000000000,10.500000000000000,65300,,,,,3.1565511226654053,,,0.19177552049683988,,,,,,,,,,,,,,,3.108705601689824,10.340844302635734,,,,,,,,,,,0.024097240242553823,,,,,72.13764505296704,72.13744415036989,3.100184679031372,10.3125,,,,,,,0.125000000000000
