"m_date","m_open","m_high","m_low","m_close","m_volume","m_vwap","m_open_split_adjusted","m_high_split_adjusted","m_low_split_adjusted","m_close_split_adjusted","m_volume_split_adjusted","m_vwap_split_adjusted","m_open_dividend_and_split_adjusted","m_high_dividend_and_split_adjusted","m_low_dividend_and_split_adjusted","m_close_dividend_and_split_adjusted","m_volume_dividend_and_split_adjusted","m_vwap_dividend_and_split_adjusted","c_annualized_volatility_5d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_21d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_63d_log_returns_dividend_and_split_adjusted","c_annualized_volatility_252d_log_returns_dividend_and_split_adjusted","c_book_to_price","c_book_value_per_share","c_chaikin_money_flow_21d_dividend_and_split_adjusted","c_chaikin_money_flow_21d_split_adjusted","c_daily_traded_value","c_daily_traded_value_sma_5d","c_daily_traded_value_sma_21d","c_daily_traded_value_sma_63d","c_daily_traded_value_sma_252d","c_earnings_per_share","c_earnings_to_price","c_exponential_moving_average_5d_close_dividend_and_split_adjusted","c_exponential_moving_average_5d_close_split_adjusted","c_exponential_moving_average_21d_close_dividend_and_split_adjusted","c_exponential_moving_average_21d_close_split_adjusted","c_exponential_moving_average_63d_close_dividend_and_split_adjusted","c_exponential_moving_average_63d_close_split_adjusted","c_exponential_moving_average_252d_close_dividend_and_split_adjusted","c_exponential_moving_average_252d_close_split_adjusted","c_last_twelve_months_net_income","c_last_twelve_months_revenue","c_last_twelve_months_revenue_per_share","c_log_difference_high_to_low","c_log_returns_dividend_and_split_adjusted","c_macd_26d_12d_dividend_and_split_adjusted","c_macd_26d_12d_split_adjusted","c_macd_signal_9d_dividend_and_split_adjusted","c_macd_signal_9d_split_adjusted","c_rsi_14d_dividend_and_split_adjusted","c_rsi_14d_split_adjusted","c_simple_moving_average_5d_close_dividend_and_split_adjusted","c_simple_moving_average_5d_close_split_adjusted","c_simple_moving_average_21d_close_dividend_and_split_adjusted","c_simple_moving_average_21d_close_split_adjusted","c_simple_moving_average_63d_close_dividend_and_split_adjusted","c_simple_moving_average_63d_close_split_adjusted","c_simple_moving_average_252d_close_dividend_and_split_adjusted","c_simple_moving_average_252d_close_split_adjusted","c_test"
1996-03-18,,,,,,,60.000000000000000,60.250000000000000,60.000000000000000,60.250000000000000,16300,,,,,38.662998199462890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.250000000000000
1996-03-19,,,,,,,60.000000000000000,60.000000000000000,60.000000000000000,60.000000000000000,2500,,,,,38.502578735351560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0041578045959253795,,,,,,,,,,,,,,,0E-15
1996-03-20,,,,,,,60.000000000000000,60.000000000000000,60.000000000000000,60.000000000000000,4350,,,,,38.502578735351560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0E-15
1996-03-21,,,,,,,60.500000000000000,61.500000000000000,60.500000000000000,61.500000000000000,18300,,,,,39.465141296386720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024692564260414274,,,,,,,,,,,,,,,1.000000000000000
1996-03-22,,,,,,,61.000000000000000,61.500000000000000,61.000000000000000,61.250000000000000,19825,,,,,39.304710388183594,,,,,,,,,,,,,,,,,,38.88760147094727,60.6,,,,,,,,,,,-0.004073414551481201,,,,,,,38.88760147094727,60.6,,,,,,,0.250000000000000
1996-03-25,,,,,,,62.000000000000000,62.000000000000000,61.250000000000000,61.750000000000000,65275,,,,,39.625572204589844,,,0.19259166860133367,,,,,,,,,,,,,,,39.13359171549479,60.983333333333334,,,,,,,,,,,0.008130303688958708,,,,,,,39.080116271972656,60.9,,,,,,,-0.250000000000000
1996-03-26,,,,,,,61.750000000000000,62.000000000000000,61.500000000000000,61.750000000000000,94075,,,,,39.625572204589844,,,0.1822306142434136,,,,,,,,,,,,,,,39.29758521185981,61.23888888888889,,,,,,,,,,,0,,,,,,,39.30471496582031,61.25,,,,,,,0E-15
1996-03-27,,,,,,,62.250000000000000,62.500000000000000,62.000000000000000,62.250000000000000,24000,,,,,39.946418762207030,,,0.17505195527881923,,,,,,,,,,,,,,,39.51386306197555,61.57592592592592,,,,,,,,,,,0.008064352607974765,,,,,,,39.593482971191406,61.7,,,,,,,0E-15
1996-03-28,,,,,,,62.000000000000000,62.500000000000000,62.000000000000000,62.250000000000000,102575,,,,,39.946418762207030,,,0.08634602418950428,,,,,,,,,,,,,,,39.658048295386045,61.800617283950615,,,,,,,,,,,0,,,,,,,39.68973846435547,61.85,,,,,,,0.250000000000000
1996-03-29,,,,,,,62.500000000000000,63.000000000000000,62.500000000000000,62.750000000000000,254525,,,,,40.267276763916016,,,0.07012693875828374,,,,,,,,,,,,,,,39.8611244515627,62.117078189300415,,,,,,,,,,,0.008000122944041071,,,,,,,39.88225173950195,62.15,,,,,,,0.250000000000000
